Using Spark's default log4j profile: org/apache/spark/log4j-defaults.properties
20/01/28 22:16:35 INFO SparkContext: Running Spark version 3.0.0-preview
20/01/28 22:16:35 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
20/01/28 22:16:36 INFO ResourceUtils: ==============================================================
20/01/28 22:16:36 INFO ResourceUtils: Resources for spark.driver:

20/01/28 22:16:36 INFO ResourceUtils: ==============================================================
20/01/28 22:16:36 INFO SparkContext: Submitted application: WEDT
20/01/28 22:16:36 INFO SecurityManager: Changing view acls to: kubajal
20/01/28 22:16:36 INFO SecurityManager: Changing modify acls to: kubajal
20/01/28 22:16:36 INFO SecurityManager: Changing view acls groups to: 
20/01/28 22:16:36 INFO SecurityManager: Changing modify acls groups to: 
20/01/28 22:16:36 INFO SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(kubajal); groups with view permissions: Set(); users  with modify permissions: Set(kubajal); groups with modify permissions: Set()
20/01/28 22:16:37 INFO Utils: Successfully started service 'sparkDriver' on port 58398.
20/01/28 22:16:37 INFO SparkEnv: Registering MapOutputTracker
20/01/28 22:16:37 INFO SparkEnv: Registering BlockManagerMaster
20/01/28 22:16:37 INFO BlockManagerMasterEndpoint: Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
20/01/28 22:16:37 INFO BlockManagerMasterEndpoint: BlockManagerMasterEndpoint up
20/01/28 22:16:37 INFO DiskBlockManager: Created local directory at C:\Users\user\AppData\Local\Temp\blockmgr-7100ea34-29b4-44df-84b5-5beb188e9da9
20/01/28 22:16:37 INFO MemoryStore: MemoryStore started with capacity 1992.9 MiB
20/01/28 22:16:37 INFO SparkEnv: Registering OutputCommitCoordinator
20/01/28 22:16:37 INFO Utils: Successfully started service 'SparkUI' on port 4040.
20/01/28 22:16:37 INFO SparkUI: Bound SparkUI to 0.0.0.0, and started at http://192.168.1.11:4040
20/01/28 22:16:38 INFO Executor: Starting executor ID driver on host 192.168.1.11
20/01/28 22:16:38 INFO Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 58457.
20/01/28 22:16:38 INFO NettyBlockTransferService: Server created on 192.168.1.11:58457
20/01/28 22:16:38 INFO BlockManager: Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
20/01/28 22:16:38 INFO BlockManagerMaster: Registering BlockManager BlockManagerId(driver, 192.168.1.11, 58457, None)
20/01/28 22:16:38 INFO BlockManagerMasterEndpoint: Registering block manager 192.168.1.11:58457 with 1992.9 MiB RAM, BlockManagerId(driver, 192.168.1.11, 58457, None)
20/01/28 22:16:38 INFO BlockManagerMaster: Registered BlockManager BlockManagerId(driver, 192.168.1.11, 58457, None)
20/01/28 22:16:38 INFO BlockManager: Initialized BlockManager: BlockManagerId(driver, 192.168.1.11, 58457, None)
wczytano 180 wierszy dla trainDf
wczytano 180 wierszy dla testDf
layer(1);layer(2);f1;czas;stepSize
10;10;0.27686344235030097;16815;0.1
10;20;0.20386979666562918;11554;0.1
10;30;0.4453826619140145;11324;0.1
10;40;0.3840681075893116;10804;0.1
10;50;0.47405913638458486;11217;0.1
10;60;0.556818247318884;11789;0.1
10;70;0.35777478221252096;11461;0.1
10;80;0.4781056780393843;11364;0.1
10;90;0.25639424326682675;11260;0.1
10;100;0.2412273593640324;11809;0.1
20;10;0.28841364274639575;10827;0.1
20;20;0.395619487857381;10732;0.1
20;30;0.4789132446447514;11558;0.1
20;40;0.48702945710508894;11135;0.1
20;50;0.5020315235974893;11438;0.1
20;60;0.5114176790431468;11951;0.1
20;70;0.4649291380559757;13231;0.1
20;80;0.4214250444422364;12466;0.1
20;90;0.5438423789371888;13559;0.1
20;100;0.39955222829937675;12104;0.1
30;10;0.37733223177448527;10616;0.1
30;20;0.4737198624243965;10422;0.1
30;30;0.44283923441947753;11748;0.1
30;40;0.49521282028223956;10896;0.1
30;50;0.40986523184763585;11348;0.1
30;60;0.4782538161676113;11523;0.1
30;70;0.4970307723532496;12588;0.1
30;80;0.5381499220682704;15390;0.1
30;90;0.5543926100553536;12700;0.1
30;100;0.5274316457825622;13796;0.1
40;10;0.1765017599284218;10217;0.1
40;20;0.43627230893030616;10459;0.1
40;30;0.43085281639277395;10467;0.1
40;40;0.4603840826212039;10811;0.1
40;50;0.5360357069560233;10932;0.1
40;60;0.5181406287727859;12432;0.1
40;70;0.5393165342285927;13610;0.1
40;80;0.538191093630646;12541;0.1
40;90;0.5731970020761068;14047;0.1
40;100;0.5490554392606486;13394;0.1
50;10;0.24821378883227235;12138;0.1
50;20;0.3201346155049781;11762;0.1
50;30;0.4043794085763602;10796;0.1
50;40;0.5081384475108572;11113;0.1
50;50;0.5138462366068771;11376;0.1
50;60;0.5497947465430004;11951;0.1
50;70;0.47586128057492133;12000;0.1
50;80;0.4529220421556134;12401;0.1
50;90;0.4434926076346103;12923;0.1
50;100;0.44689790723350437;12316;0.1
60;10;0.2538826952888784;10697;0.1
60;20;0.316447985849838;10866;0.1
60;30;0.4418851913323455;10958;0.1
60;40;0.488487070939936;11151;0.1
60;50;0.5221515584536228;11402;0.1
60;60;0.4840257544500647;11513;0.1
60;70;0.49909648257145844;12151;0.1
60;80;0.43338257969012356;12302;0.1
60;90;0.45226719783385805;13168;0.1
60;100;0.5086489958430535;15516;0.1
70;10;0.2274834617077345;10812;0.1
70;20;0.36561705048511917;10890;0.1
70;30;0.4926718498671421;11600;0.1
70;40;0.47353104878985636;11476;0.1
70;50;0.41421361816665697;11864;0.1
70;60;0.4469072298279321;11820;0.1
70;70;0.583224923973062;12466;0.1
70;80;0.5799569039702552;13518;0.1
70;90;0.5633081229287287;12873;0.1
70;100;0.5618550422844459;13389;0.1
80;10;0.28963877556761985;10881;0.1
80;20;0.3780452076017965;10946;0.1
80;30;0.43668178795572193;11307;0.1
80;40;0.48363496184840393;11754;0.1
